"","county","railyards_crpm_avg","airport_crpm_avg","lightduty_crpm_avg","heavyduty_crpm_avg","cmv_loco_crpm_avg","np_10m_releaseheight_crpm_avg","np_low_releaseheight_crpm_avg","rwc_crpm_avg","cmv_crpm_avg","biogenics_crpm_avg","fires_crpm_avg","secondary_crpm_avg","total_crpm_avg"
"Humboldt","Humboldt",0.336822836446674,0.145661522462539,0.103539784473349,0.120332642005312,0.143513095142324,0.286907557382002,0.0761771540649121,0.167127680430845,0.00463896409543243,0.547874135279933,0.215546197934244,0.0532105135054342,0.177667198456457
"Imperial","Imperial",0.0803693328291949,0.0865881639485434,0.4036856144376,0.546622759902088,0.147195346407384,0.311131340441856,0.459743999338062,0,6.70769334524913e-05,1,0.19049713002866,0.795827296767025,0.483884788577084
"Inyo","Inyo",0.00981968453662891,0.0389033219684215,0.067090365479327,0.117069663096904,0.0174909331977543,0.027320265192768,0.0212192870583207,0.0508773530061278,0,0.335073701595503,0.151619188452792,0.15786965368444,0.0826865957062239
"Kern","Kern",0.45481858672928,0.0786464168973015,0.199858614689101,0.88442941327177,0.125486991803417,0.482696207720097,0.240981864703549,0.0639085835170807,0,0.681981869169984,0.255334599128707,0.884276846400558,0.3831123706493
"Kings","Kings",0.091644360489396,0.0580806732083505,0.189423566938385,0.594207596992211,0.126885900296637,0.0411539302573763,0.221995649665731,0.0904654596076955,0,0.790660832896746,0.288693806282285,0.748829686121849,0.333344358818828
"Lake","Lake",0.0687544350584557,0.0204961411575604,0.085190190059373,0.0846348321994962,0.206429543621521,0.180835381529722,0.0233869777713315,0.119103682193559,0,0.4822121953357,0.296610534516096,0.405269719048239,0.213434114908945
"Lassen","Lassen",0.134254731928728,0.0137599321491046,0.0509445370959458,0.0550765318635004,0.0546297666213373,0.0741754489072172,0.0310372341388787,0.0587165222687167,0,0.344967960949525,0.22168411070365,0.318905436592805,0.115562555934957
"Los Angeles","Los Angeles",0.265180731964214,1,0.499020799765046,0.78999786526668,0.442579961308783,0.0805776701927558,0.471233711704524,0.0893155732593596,0.0653895999925929,0.100656505585737,0.0436388806226325,0.68918488662858,0.587053964745135
"Madera","Madera",0.0781343883448932,0.0593783176759743,0.156501050325616,0.458471131898584,0.0985510475926493,0.360498186638112,0.145654208665356,0.106737134939419,0,0.65625483911062,0.453528013358646,0.695706927132037,0.309615212093537
"Marin","Marin",0.104338484292239,0.0444706372746682,0.212858180849044,0.245552448362787,0.233395191538597,0.0525897657141588,0.131783557258754,0.190802190455477,0.0734404640340191,0.2350377112434,0.154512580267487,0.1246849002632,0.259568815210827
"Mariposa","Mariposa",0.00379025952238353,0.0114172581945412,0.00592912343067542,0.0182917930748132,0.072175791128754,0.0309267183923951,0.0047180533641473,0.010387900359432,0,0.610647996832855,0.768817957691953,0.676454441229358,0.164760199203044
"Mendocino","Mendocino",0.00380639417030808,0.0616945349248973,0.0937724448306969,0.156294768729976,0.127383142034578,0.21216248275657,0.0704166989777078,0.153720696802971,0.000243243111679343,0.643536552886401,0.167402015114082,0.192549185755296,0.178722945316911
"Merced","Merced",1,0.153917734146738,0.228607614592825,0.667854631221663,0.15307463636402,0.0754350818983487,0.251589068186486,0.241186764200614,0,0.581640502085283,0.432036392627402,0.657124945593468,0.402039406060132
"Modoc","Modoc",0.00362259575690024,0.119227895266945,0.0662272679569304,0.0698695564388608,0.00286218082898315,0.076454810678931,0.0615813224576066,0.0415802100312196,0,0.307397944295609,0.297385640158035,0.211989420627978,0.0937425563927138
"Mono","Mono",3.88143292090093e-05,0.0289931266918074,0.00392546709215589,0.0249174515487085,0.00235905556199621,0.00285071782574194,0.00214979557264722,0.0163483629478177,8.73257033304588e-07,0,0.1482995197694,0.0622962552599076,0
"Monterey","Monterey",0.098373544539876,0.0891619946147027,0.231675816072698,0.274762040517388,0.116091498040802,0.0873479040355187,0.180208241793903,0.146861804491967,0.00524817008456992,0.199184435398305,0.0773485200056761,0.0556711340123599,0.22057637206144
"Napa","Napa",0.0291721511937125,0.0253709326318107,0.203775418630166,0.209722584405109,0.124515064328671,0.0422045620447784,0.102921209631486,0.198671403680763,0.00770149453104822,0.395281901798752,0.2717439205482,0.320058969222175,0.26500783474196
"Nevada","Nevada",0.0234034339339402,0.0235729234082886,0.0760214956475851,0.132976701568009,0.0815334387746218,0.153115838528474,0.043233697239649,0.154309459180381,0.000453198936589022,0.76328871662408,0.433901209249165,0.819274128368948,0.266358761500694
"Orange","Orange",0.159783127936446,0.327560567757673,0.380445929200994,0.612664506780607,0.575177743591753,0.0527719228805576,0.334562867790157,0.0810400257640593,0.072464810790967,0.0366110936409818,0.00953158336241495,0.50603466494262,0.492150971153497
"Placer","Placer",0.0841097888706779,0.0863911266945252,0.18648230709798,0.277127455372522,0.156264046812888,0.318973357345161,0.127815153790887,0.431808667940491,0.00419342024002604,0.573923502376608,0.535378353333123,0.80898560753096,0.424517494521343
"Plumas","Plumas",0.031277291436385,0.0192942215899251,0.00581671883493769,0.00154315228460324,0.0604654449601791,0.0312562032883156,0.0226019676748656,0.0320059586558625,0,0.628587244171024,0.373175383276849,0.45424843248171,0.117075498715081
"Riverside","Riverside",0.0333508060976393,0.0870368300888127,0.219773978471465,0.478779735792171,0.193708996808996,0.0121650954251865,0.214914080730443,0.073007631201836,0.000418731455544308,0.436689466175552,0.092212273609746,0.69329745438527,0.328871841181747
"Sacramento","Sacramento",0.0578333977702519,0.204628708394935,0.334744366847143,0.495211318386624,0.28124814122731,0.128599363339875,0.238188314882739,1,0.017544797462494,0.421265126730713,0.457647560482829,0.751256426491309,0.654684107788038
"San Benito","San Benito",0.111380070698143,0.0517761999569439,0.193295064488186,0.541531145529128,0.0973857066008544,0.212864546699248,0.107426690619138,0.107095932370042,6.22170027723492e-05,0.300374859226077,0.0979608914656706,0.191846655391708,0.217875209086448
"San Bernardino","San Bernardino",0.0849995764493518,0.160889580768944,0.271455802300723,0.591260857960383,0.204278871526332,0.0451836738091497,0.443355925047904,0.0840701194347002,0.000249676245907313,0.255116654693646,0.0572498675232091,0.645757470345073,0.366651930424579
"San Diego","San Diego",0.464734115733293,0.369005170967222,0.421558083361593,0.541085281667042,0.46571446172275,0.206488505364375,0.469660794540352,0.116985679863721,0.0676295532152146,0.10453613972448,0,0.452416940936003,0.509412526889644
"San Francisco","San Francisco",0.10136140142065,0.135103202827073,1,1,1,0.41769439044208,1,0.0983623324197968,1,0.0300347931773134,0.126974059237594,0.151102653716043,1
"San Joaquin","San Joaquin",0.987006849394529,0.0600780938119945,0.308894687250599,0.676889283565039,0.300653794506089,0.195402161104846,0.290213784554976,0.223884939243511,0.0272801466032755,0.380325346571285,0.299779065364916,0.523186324208406,0.456260542792011
"San Luis Obispo","San Luis Obispo",0.0414760142374532,0.0275582208601675,0.124496212241566,0.149533856288663,0.0918225332999274,0.12610741420512,0.0913192971425977,0.110019980027434,0.00150057804650949,0.296585797456153,0.0891708673902052,0.189441353980211,0.159108444315119
"San Mateo","San Mateo",0.0557251832275127,0.805563038826692,0.342403315854968,0.402033034126769,0.256833975746042,0.0999004424205393,0.214346725564425,0.0942527650057985,0.13663094619209,0.0521630327698898,0.091483127072306,0.0569894261169976,0.321054435251084
"Santa Barbara","Santa Barbara",0.167559160564262,0.105021470574082,0.199215657280062,0.204583950569893,0.127336609819755,0.0477139289321516,0.127395887830352,0.112270362024524,0.00556058753914877,0.294358995238737,0.0295780894856499,0.211921315614308,0.217868361936588
